X,Y,OBJECTID,ID,TOWN,AIRPORT_NAME,OWNER_TYPE,FACILITY_TYPE,CLASS,RUNWAY,LATITUDE,LONGITUDE,ELEVATION,P_LENGTH,S_LENGTH,P_WIDTH,S_WIDTH,P_SURFACETYPE,S_SURFACETYPE,P_RUNWAYLIGHTS,S_RUNWAYLIGHTS,CONTROLTOWER,RESTAURANT,RENTALCAR,SERVICELEVEL,AIRSERVICE,GlobalID,created_user,created_date,last_edited_user,last_edited_date
217327.782099999,913382.4659,54,BED,BEDFORD,HANSCOM FIELD,MassPort,PUBLIC OWNED AP,TRAN,2,42 28 12,71 17 22,133,7001,5106,150,150,ASPHALT-GROOVED,ASPHALT,HIRLS,MIRLS,FAA,N, ,RELIEVER W/ COMMERCIAL SERVICE,Y,{7C47FDCD-0236-41DD-B551-E0DE3A366F67},,,,
224771.160800003,861420.297499999,55,1B9,MANSFIELD,MANSFIELD MUNICIPAL,MAC,PUBLIC OWNED AP,GU-1,2,42 00 15,71 12 00,122,3498,2317,75,100,ASPHALT,TURF,MIRLS, ,N,Y, ,GENERAL AVIATION,N,{B4672932-F099-4E60-92BC-89A0950B6406},,,,
240225.673900001,847086.913899999,56,TAN,TAUNTON,TAUNTON MUNICIPAL,MAC,PUBLIC OWNED AP,GU-1,1,41 52 45,71 01 15,43,3500,1900,75,60,ASPHALT,TURF,MIRLS,NONE,N,N, ,GENERAL AVIATION,N,{1839FF5F-21A3-4627-A19E-3F640B75D4B7},,,,
239295.659699999,843291.622699998,57,1M8,BERKLEY,BERKELY-MYRICKS,MAC,PRIVATE OWNED AP, ,1,41 50 20,71 01 33,71,2150,0,150,0,TURF, , , ,N,N, ,GENERAL AVIATION,N,{6195F404-AD4F-4A7E-A74A-0034ADE7C358},,,,
239546.636,806730.4681,58,5MA9,WESTPORT,ALLEN'S POND,Private,PRIVATE OWNED AP,,2,41 30 40,71 01 41,60,1550,1150,40,40,TURF,,,,N,,,PRIVATE USE,,{CC39261B-D9D2-4203-8618-EA0FB7F0F3CB},,,,
238806.839000002,810364.715300001,59,3MA5,WESTPORT,WESTPORT,Private,PRIVATE OWNED AP,,1,41 32 35,71 02 07,80,2150,0,50,0,TURF,,,,N,,,PRIVATE USE,,{2B7EF804-978A-4F8C-B02E-001B4BCA6CC1},,,,
268425.397500001,872260.940099999,60,3B2,MARSHFIELD,MARSHFIELD MUNICIPAL,MAC,PUBLIC OWNED AP,BU-2,1,42 05 53,70 40 21,11,2999,0,75,0, , , , ,N,N, ,GENERAL AVIATION,N,{79EC17B6-A141-4B1B-B303-D72603BD142C},,,,
256668.215499997,869571.689800002,61,MA64,PEMBROKE,PHEASANT FIELD,Private,PRIVATE OWNED AP,,1,42 04 31,70 48 55,40,2000,0,150,0,TURF,,,,N,,,EMERGENCY USE,,{68664FDC-1D3A-4AE5-9757-1D86CBAD1F5B},,,,
258164.864699997,869501.051199999,62,MA63,PEMBROKE,SHERMAN-PRIVATE,Private,PRIVATE OWNED AP,,1,42 04 26,70 47 53,34,1500,0,50,0,TURF,,,,N,,,PRIVATE USE,,{DBC1F2C0-2E1E-440E-931C-E1C7CCA2CAD7},,,,
254842.0964,863974.367600001,63,MA02,HANSON,HANSON-CRANLAND,MAC,PRIVATE OWNED AP,LU,1,42 01 29,70 50 19,71,1845,0,60,0,GRAVEL, , , ,N,N, ,GENERAL AVIATION,N,{B51396E7-513F-4ADD-8343-2C8240E3DA7F},,,,
